ZGHP_PARA_AFFECTOT                                                                                           27.08.2026 /
11:02:43
* SERVICE         :  PARA
* POSTE DE TRAVAIL:  %%%%%%%%
* O.T.            :  %%%%%%%%
* PERIODE de       :  20220101   a   20260827                                                                     PAGE :
    1
------------------------------------------------------------------------------------------------------------------------------
         D A T E     T  POSTE TR  LIBELLE POSTE TRAV.                        AFFECT      HEURES              TRANSF
         --------    -  --------  -------------------                        ------      ------              ------
    ** OT:  00005188F576 = REDRESSAGE DES POUTRELLES
         20220202    0  PELEPAR0  PADI/PARA/ROBOT                            50-36100          10,0          X
         20220202    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100          16,0          X
         20220203    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100          10,0          X
         20220204    0  PELEPAR0  PADI/PARA/ROBOT                            50-36100          12,0          X
         20220204    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100          16,0          X
         20220207    0  PELEPAR0  PADI/PARA/ROBOT                            50-36100           4,0          X
         20220208    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           5,0          X
         20220208    0  PELEPAT0  PADI/PARA/CONTROLE CND                     50-36100           3,0          X
         20220209    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           4,0          X
         **TOTAL OT:                                                                          131,0
    ** OT:  00005188Z132 = 1100634968 HENGSTEY BA2 SUD
         20220114    0  PELEPAF1  PADI/PARA/FORAGE NUMERIQUE                 50-36100           8,0          X
         20220117    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           8,0          X
         20220117    0  PELEPAF1  PADI/PARA/FORAGE NUMERIQUE                 50-36100           3,0          X
         20220117    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           2,0          X
         20220117    0  PELEPAR0  PADI/PARA/ROBOT                            50-36100           2,5          X
         20220118    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100          16,0          X
         20220118    0  PELEPAF1  PADI/PARA/FORAGE NUMERIQUE                 50-36100           7,0          X
         20220118    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           2,0          X
         20220118    0  PELEPAR0  PADI/PARA/ROBOT                            50-36100           2,0          X
         20220119    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100          16,0          X
         20220119    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           2,0          X
         20220119    0  PELEPAR0  PADI/PARA/ROBOT                            50-36100           5,5          X
         20220120    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100          16,0          X
         20220120    0  PELEPAF1  PADI/PARA/FORAGE NUMERIQUE                 50-36100           8,0          X
         20220121    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100          16,0          X
         20220121    0  PELEPAF1  PADI/PARA/FORAGE NUMERIQUE                 50-36100           6,0          X
         20220121    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100          16,0          X
         20220124    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           8,0          X
         20220124    0  PELEPAG0  PADI/PARA/GOUJONNAGE                       50-36100           8,0          X
         20220124    0  PELEPAT0  PADI/PARA/CONTROLE CND                     50-36100           2,0          X
         20220125    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100          16,0          X
         20220125    0  PELEPAF1  PADI/PARA/FORAGE NUMERIQUE                 50-36100           4,0          X
         20220125    0  PELEPAG0  PADI/PARA/GOUJONNAGE                       50-36100           8,0          X
         20220125    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           6,0          X
         20220125    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100           8,0          X
